date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:43:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Mar%202024%2018:43:03%20GMT	https://advanture.icu/betfin	C:/My%20Web%20Sites/agu/advanture.icu/betfin.0.delayed	(from )
19:43:29	209532/209532	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Mar%202024%2018:43:03%20GMT	https://advanture.icu/betfin/	C:/My%20Web%20Sites/agu/advanture.icu/betfin/index.html	(from )
19:43:29	110/110	---M-Z	200	added ('OK')	text/plain	date:Wed,%2020%20Mar%202024%2018:43:04%20GMT	https://advanture.icu/robots.txt		(from )
19:43:31	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2020%20Mar%202024%2018:43:06%20GMT	https://advanture.icu/betfin/xmlrpc.php	C:/My%20Web%20Sites/agu/advanture.icu/betfin/xmlrpc.php	(from https://advanture.icu/betfin/)
19:43:32	197048/197048	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Oct%202023%2005:20:03%20GMT	https://advanture.icu/betfin/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main.css?ver=2.6.2	C:/My%20Web%20Sites/agu/advanture.icu/betfin/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main61da.css	(from https://advanture.icu/betfin/)
19:43:32	45572/45572	---MCZ	200	added ('OK')	application/rss+xml	etag:%221f0bf7a4f256603422bc76c2659a33d0%22	https://advanture.icu/betfin/feed/	C:/My%20Web%20Sites/agu/advanture.icu/betfin/feed/index.html	(from https://advanture.icu/betfin/)
19:43:33	719/719	---M-Z	200	added ('OK')	application/rss+xml	etag:%221f0bf7a4f256603422bc76c2659a33d0%22	https://advanture.icu/betfin/comments/feed/	C:/My%20Web%20Sites/agu/advanture.icu/betfin/comments/feed/index.html	(from https://advanture.icu/betfin/)
19:43:33	291/291	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2014:59:17%20GMT	https://advanture.icu/betfin/wp-includes/css/classic-themes.min.css?ver=6.2.4	C:/My%20Web%20Sites/agu/advanture.icu/betfin/wp-includes/css/classic-themes.min0757.css	(from https://advanture.icu/betfin/)
19:43:33	1111/1111	---M-Z	200	added ('OK')	text/css	date:Tue,%2024%20Jan%202023%2011:55:32%20GMT	https://advanture.icu/betfin/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min.css?ver=1.0.21	C:/My%20Web%20Sites/agu/advanture.icu/betfin/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min365c.css	(from https://advanture.icu/betfin/)
19:43:34	97517/97517	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2014:59:20%20GMT	https://advanture.icu/betfin/wp-includes/css/dist/block-library/style.min.css?ver=6.2.4	C:/My%20Web%20Sites/agu/advanture.icu/betfin/wp-includes/css/dist/block-library/style.min0757.css	(from https://advanture.icu/betfin/)
19:43:34	776/776	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Dec%202023%2016:27:52%20GMT	https://advanture.icu/betfin/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.22	C:/My%20Web%20Sites/agu/advanture.icu/betfin/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor378f.css	(from https://advanture.icu/betfin/)
19:43:34	19533/19533	---M-Z	200	added ('OK')	text/css	date:Wed,%2022%20Nov%202023%2017:25:21%20GMT	https://advanture.icu/betfin/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.23.0	C:/My%20Web%20Sites/agu/advanture.icu/betfin/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min192d.css	(from https://advanture.icu/betfin/)
19:43:35	16471/16471	---M-Z	200	added ('OK')	text/css	date:Wed,%2022%20Nov%202023%2017:25:29%20GMT	https://advanture.icu/betfin/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/agu/advanture.icu/betfin/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://advanture.icu/betfin/)
19:43:35	117332/117332	---M-Z	200	added ('OK')	text/css	date:Wed,%2022%20Nov%202023%2017:24:59%20GMT	https://advanture.icu/betfin/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.17.3	C:/My%20Web%20Sites/agu/advanture.icu/betfin/wp-content/plugins/elementor/assets/css/frontend-lite.min8864.css	(from https://advanture.icu/betfin/)
19:43:36	14490/14490	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Nov%202023%2000:36:20%20GMT	https://advanture.icu/betfin/wp-content/uploads/sites/41/elementor/css/post-2060.css?ver=1700699780	C:/My%20Web%20Sites/agu/advanture.icu/betfin/wp-content/uploads/sites/41/elementor/css/post-206097f1.css	(from https://advanture.icu/betfin/)
19:43:36	382625/382625	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Nov%202023%2000:36:22%20GMT	https://advanture.icu/betfin/wp-content/uploads/sites/41/elementor/css/post-61.css?ver=1700699782	C:/My%20Web%20Sites/agu/advanture.icu/betfin/wp-content/uploads/sites/41/elementor/css/post-61b755.css	(from https://advanture.icu/betfin/)
19:43:37	75684/75684	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Dec%202023%2016:27:52%20GMT	https://advanture.icu/betfin/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=1.6.22	C:/My%20Web%20Sites/agu/advanture.icu/betfin/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend378f.css	(from https://advanture.icu/betfin/)
19:43:37	26702/26702	---M-Z	200	added ('OK')	text/css	date:Wed,%2022%20Nov%202023%2017:25:23%20GMT	https://advanture.icu/betfin/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.17.3	C:/My%20Web%20Sites/agu/advanture.icu/betfin/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min8864.css	(from https://advanture.icu/betfin/)
